"Step","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_justentity - episode_return","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_justentity - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_justentity - episode_return__MAX","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_336figure3 - episode_return","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_336figure3 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_336figure3 - episode_return__MAX"
"237","-559.2","-559.2","-559.2","-644.7","-644.7","-644.7"
"238","-574.1","-574.1","-574.1","-670.2","-670.2","-670.2"
"239","-696.8","-696.8","-696.8","-667.2","-667.2","-667.2"
"240","-626.5","-626.5","-626.5","-717.4","-717.4","-717.4"
"241","-650.7","-650.7","-650.7","-820.9","-820.9","-820.9"
"242","-700.1","-700.1","-700.1","-655.4","-655.4","-655.4"
"243","-557.5","-557.5","-557.5","-731","-731","-731"
"244","-555.4","-555.4","-555.4","-764.8","-764.8","-764.8"
"245","-611.9","-611.9","-611.9","-660.4","-660.4","-660.4"
"246","-619.1","-619.1","-619.1","-799.8","-799.8","-799.8"
"247","-548.5","-548.5","-548.5","-668.9","-668.9","-668.9"
"248","-523.1","-523.1","-523.1","-746.5","-746.5","-746.5"
"249","-656.1","-656.1","-656.1","-734.2","-734.2","-734.2"
"250","-565.6","-565.6","-565.6","-749.3","-749.3","-749.3"
"251","-597.1","-597.1","-597.1","-748.2","-748.2","-748.2"
"252","-600.9","-600.9","-600.9","-526.3","-526.3","-526.3"
"253","-606","-606","-606","-611.3","-611.3","-611.3"
"254","-607.3","-607.3","-607.3","-663.5","-663.5","-663.5"
"255","-571.4","-571.4","-571.4","-639.7","-639.7","-639.7"
"256","-567.7","-567.7","-567.7","-690.9","-690.9","-690.9"
"257","-588.6","-588.6","-588.6","-724.6","-724.6","-724.6"
"258","-667","-667","-667","-720.3","-720.3","-720.3"
"259","-614.8","-614.8","-614.8","-640.5","-640.5","-640.5"
"260","-635","-635","-635","-696.2","-696.2","-696.2"
"261","-657.6","-657.6","-657.6","-656.8","-656.8","-656.8"
"262","-594.4","-594.4","-594.4","-686.6","-686.6","-686.6"
"263","-539.6","-539.6","-539.6","-744.3","-744.3","-744.3"
"264","-588.8","-588.8","-588.8","-765.5","-765.5","-765.5"
"265","-530.5","-530.5","-530.5","-756.2","-756.2","-756.2"
"266","-558.6","-558.6","-558.6","-711.2","-711.2","-711.2"
"267","-578.8","-578.8","-578.8","-716.9","-716.9","-716.9"
"268","-625","-625","-625","-643","-643","-643"
"269","-525.7","-525.7","-525.7","-710.7","-710.7","-710.7"
"270","-659.3","-659.3","-659.3","-704.6","-704.6","-704.6"
"271","-542.7","-542.7","-542.7","-763.6","-763.6","-763.6"
"272","-513.8","-513.8","-513.8","-659.3","-659.3","-659.3"
"273","-608.4","-608.4","-608.4","-672","-672","-672"
"274","-584.1","-584.1","-584.1","-762.2","-762.2","-762.2"
"275","-660.1","-660.1","-660.1","-659.1","-659.1","-659.1"
"276","-607.8","-607.8","-607.8","-733.9","-733.9","-733.9"
"277","-573.3","-573.3","-573.3","-635.2","-635.2","-635.2"
"278","-643.2","-643.2","-643.2","-691.3","-691.3","-691.3"
"279","-575.8","-575.8","-575.8","-716.4","-716.4","-716.4"
"280","-605.8","-605.8","-605.8","-654.8","-654.8","-654.8"
"281","-588.2","-588.2","-588.2","-648.1","-648.1","-648.1"
"282","-541","-541","-541","-794.6","-794.6","-794.6"
"283","-546.4","-546.4","-546.4","-641","-641","-641"
"284","-530.5","-530.5","-530.5","-704.8","-704.8","-704.8"
"285","-615.2","-615.2","-615.2","-696.1","-696.1","-696.1"
"286","-622.5","-622.5","-622.5","-657.2","-657.2","-657.2"
"287","-655.4","-655.4","-655.4","-662","-662","-662"
"288","-631.6","-631.6","-631.6","-689.2","-689.2","-689.2"
"289","-507.5","-507.5","-507.5","-665","-665","-665"
"290","-619","-619","-619","-632.8","-632.8","-632.8"
"291","-559.7","-559.7","-559.7","-776.1","-776.1","-776.1"
"292","-556.2","-556.2","-556.2","-715.7","-715.7","-715.7"
"293","-533.5","-533.5","-533.5","-671.4","-671.4","-671.4"
"294","-541.5","-541.5","-541.5","-711.9","-711.9","-711.9"
"295","-601.8","-601.8","-601.8","-630.1","-630.1","-630.1"
"296","-495.2","-495.2","-495.2","-600.9","-600.9","-600.9"
"297","-605.8","-605.8","-605.8","-738.6","-738.6","-738.6"
"298","-512.7","-512.7","-512.7","-709","-709","-709"
"299","-534.6","-534.6","-534.6","-692.2","-692.2","-692.2"
"300","-562.2","-562.2","-562.2","-712","-712","-712"
"301","-565.8","-565.8","-565.8","-722.9","-722.9","-722.9"
"302","-583","-583","-583","-619.8","-619.8","-619.8"
"303","-446.3","-446.3","-446.3","-656.1","-656.1","-656.1"
"304","-536.7","-536.7","-536.7","-681.5","-681.5","-681.5"
"305","-591.5","-591.5","-591.5","-647.8","-647.8","-647.8"
"306","-547.1","-547.1","-547.1","-732.9","-732.9","-732.9"
"307","-564.5","-564.5","-564.5","-624.8","-624.8","-624.8"
"308","-591.5","-591.5","-591.5","-709.6","-709.6","-709.6"
"309","-579.1","-579.1","-579.1","-619.3","-619.3","-619.3"
"310","-506.7","-506.7","-506.7","-693.7","-693.7","-693.7"
"311","-624.5","-624.5","-624.5","-637.9","-637.9","-637.9"
"312","-648.3","-648.3","-648.3","-696.3","-696.3","-696.3"
"313","-662.9","-662.9","-662.9","-725.8","-725.8","-725.8"
"314","-660.2","-660.2","-660.2","-693","-693","-693"
"315","-580","-580","-580","-686.3","-686.3","-686.3"
"316","-609.5","-609.5","-609.5","-664.5","-664.5","-664.5"
"317","-615.3","-615.3","-615.3","-740.2","-740.2","-740.2"
"318","-562.5","-562.5","-562.5","-716","-716","-716"
"319","-542.3","-542.3","-542.3","-704.8","-704.8","-704.8"
"320","-522.2","-522.2","-522.2","-661.8","-661.8","-661.8"
"321","-624.9","-624.9","-624.9","-727.6","-727.6","-727.6"
"322","-596.4","-596.4","-596.4","-842.1","-842.1","-842.1"
"323","-504.5","-504.5","-504.5","-666.1","-666.1","-666.1"
"324","-546.2","-546.2","-546.2","-638.8","-638.8","-638.8"
"325","-557.1","-557.1","-557.1","-732.1","-732.1","-732.1"
"326","-520.1","-520.1","-520.1","-684.2","-684.2","-684.2"
"327","-603.1","-603.1","-603.1","-779.1","-779.1","-779.1"
"328","-565.6","-565.6","-565.6","-708","-708","-708"
"329","-561.3","-561.3","-561.3","-666.2","-666.2","-666.2"
"330","-523.2","-523.2","-523.2","-719","-719","-719"
"331","-562","-562","-562","-666.9","-666.9","-666.9"
"332","-533.4","-533.4","-533.4","-752.4","-752.4","-752.4"
"333","-606.2","-606.2","-606.2","-599.2","-599.2","-599.2"
"334","-581.9","-581.9","-581.9","-599.4","-599.4","-599.4"
"335","-528.5","-528.5","-528.5","-715","-715","-715"
"336","-566.5","-566.5","-566.5","-720.7","-720.7","-720.7"
"337","-564.3","-564.3","-564.3","-746.4","-746.4","-746.4"
"338","-570.7","-570.7","-570.7","-728.8","-728.8","-728.8"
"339","-572.6","-572.6","-572.6","-692.9","-692.9","-692.9"
"340","-550.7","-550.7","-550.7","-684.3","-684.3","-684.3"
"341","-543.9","-543.9","-543.9","-677.1","-677.1","-677.1"
"342","-504.2","-504.2","-504.2","-710.9","-710.9","-710.9"
"343","-557.4","-557.4","-557.4","-669.7","-669.7","-669.7"
"344","-541","-541","-541","-637.6","-637.6","-637.6"
"345","-576.5","-576.5","-576.5","-698.2","-698.2","-698.2"
"346","-541.4","-541.4","-541.4","-599.4","-599.4","-599.4"
"347","-530.3","-530.3","-530.3","-750.2","-750.2","-750.2"
"348","-533.4","-533.4","-533.4","-644.7","-644.7","-644.7"
"349","-501.1","-501.1","-501.1","-670","-670","-670"
"350","-584.4","-584.4","-584.4","-739.4","-739.4","-739.4"
"351","-580.4","-580.4","-580.4","-672","-672","-672"
"352","-617.2","-617.2","-617.2","-671.9","-671.9","-671.9"
"353","-597.3","-597.3","-597.3","-722","-722","-722"
"354","-533.8","-533.8","-533.8","-722.4","-722.4","-722.4"
"355","-593.8","-593.8","-593.8","-632.9","-632.9","-632.9"
"356","-541.8","-541.8","-541.8","-738.2","-738.2","-738.2"
"357","-569.2","-569.2","-569.2","-740.7","-740.7","-740.7"
"358","-606.6","-606.6","-606.6","-688.8","-688.8","-688.8"
"359","-487.4","-487.4","-487.4","-715.8","-715.8","-715.8"
"360","-578.2","-578.2","-578.2","-786.4","-786.4","-786.4"
"361","-583.6","-583.6","-583.6","-710.4","-710.4","-710.4"
"362","-454","-454","-454","-667.7","-667.7","-667.7"
"363","-482.4","-482.4","-482.4","-638.5","-638.5","-638.5"
"364","-494.4","-494.4","-494.4","-623.6","-623.6","-623.6"
"365","-564.8","-564.8","-564.8","-721.9","-721.9","-721.9"
"366","-537.6","-537.6","-537.6","-685.2","-685.2","-685.2"
