epoch,mpe-large-spread-v2_teamcomm_no_mTrue_vTrue_333 - episode_return,mpe-large-spread-v2_teamcomm_no_mTrue_vTrue_333 - episode_return__MIN,mpe-large-spread-v2_teamcomm_no_mTrue_vTrue_333 - episode_return__MAX,mpe-large-spread-v2_teamcomm_no_mFalse_vTrue_333 - episode_return,mpe-large-spread-v2_teamcomm_no_mFalse_vTrue_333 - episode_return__MIN,mpe-large-spread-v2_teamcomm_no_mFalse_vTrue_333 - episode_return__MAX
328,-590.5,-590.5,-590.5,-531.5,-531.5,-531.5
329,-303.5,-303.5,-303.5,-453.5,-453.5,-453.5
330,-380.5,-380.5,-380.5,-454,-454,-454
331,-464,-464,-464,-519,-519,-519
332,-415.5,-415.5,-415.5,-468.5,-468.5,-468.5
333,-394.5,-394.5,-394.5,-550,-550,-550
334,-372,-372,-372,-420.5,-420.5,-420.5
335,-478.5,-478.5,-478.5,-375.5,-375.5,-375.5
336,-278,-278,-278,-538.5,-538.5,-538.5
337,-405.5,-405.5,-405.5,-521,-521,-521
338,-627,-627,-627,-434,-434,-434
339,-564.5,-564.5,-564.5,-491,-491,-491
340,-363.5,-363.5,-363.5,-339.5,-339.5,-339.5
341,-452.5,-452.5,-452.5,-409.5,-409.5,-409.5
342,-481,-481,-481,-576,-576,-576
343,-519,-519,-519,-470.5,-470.5,-470.5
344,-497,-497,-497,-450.5,-450.5,-450.5
345,-396,-396,-396,-423,-423,-423
346,-515,-515,-515,-480,-480,-480
347,-450,-450,-450,-411,-411,-411
348,-492.5,-492.5,-492.5,-773,-773,-773
349,-448.5,-448.5,-448.5,-377.5,-377.5,-377.5
350,-329,-329,-329,-406,-406,-406
351,-455.5,-455.5,-455.5,-461,-461,-461
352,-305,-305,-305,-410.5,-410.5,-410.5
353,-455,-455,-455,-357,-357,-357
354,-335,-335,-335,-477.5,-477.5,-477.5
355,-513.5,-513.5,-513.5,-380.5,-380.5,-380.5
356,-471,-471,-471,-437.5,-437.5,-437.5
357,-275.5,-275.5,-275.5,-498.5,-498.5,-498.5
358,-410.5,-410.5,-410.5,-595.5,-595.5,-595.5
359,-740,-740,-740,-438,-438,-438
360,-732.5,-732.5,-732.5,-414,-414,-414
361,-418.5,-418.5,-418.5,-532.5,-532.5,-532.5
362,-386.5,-386.5,-386.5,-631.5,-631.5,-631.5
363,-521.5,-521.5,-521.5,-745,-745,-745
364,-392,-392,-392,-399.5,-399.5,-399.5
365,-433,-433,-433,-408,-408,-408
366,-534.5,-534.5,-534.5,-644.5,-644.5,-644.5
367,-332.5,-332.5,-332.5,-501,-501,-501
368,-458,-458,-458,-494,-494,-494
369,-405.5,-405.5,-405.5,-558.5,-558.5,-558.5
370,-439.5,-439.5,-439.5,-561.5,-561.5,-561.5
371,-376,-376,-376,-558.5,-558.5,-558.5
372,-365,-365,-365,-439.5,-439.5,-439.5
373,-431,-431,-431,-451.5,-451.5,-451.5
374,-524.5,-524.5,-524.5,-483,-483,-483
375,-543.5,-543.5,-543.5,-535.5,-535.5,-535.5
376,-497,-497,-497,-389.5,-389.5,-389.5
377,-371,-371,-371,-201,-201,-201
378,-600.5,-600.5,-600.5,-386.5,-386.5,-386.5
379,-477,-477,-477,-604,-604,-604
380,-403.5,-403.5,-403.5,-551.5,-551.5,-551.5
381,-438.5,-438.5,-438.5,-707,-707,-707
382,-586,-586,-586,-494,-494,-494
383,-335.5,-335.5,-335.5,-347,-347,-347
384,-470.5,-470.5,-470.5,-403.5,-403.5,-403.5
385,-415,-415,-415,-560.5,-560.5,-560.5
386,-481,-481,-481,-402,-402,-402
387,-327.5,-327.5,-327.5,-405.5,-405.5,-405.5
388,-461.5,-461.5,-461.5,-544.5,-544.5,-544.5
389,-332,-332,-332,-459.5,-459.5,-459.5
390,-589.5,-589.5,-589.5,-433,-433,-433
391,-438,-438,-438,-480.5,-480.5,-480.5
392,-455.5,-455.5,-455.5,-603,-603,-603
393,-415.5,-415.5,-415.5,-321.5,-321.5,-321.5
394,-396,-396,-396,-494,-494,-494
395,-350,-350,-350,-398,-398,-398
396,-569,-569,-569,-475.5,-475.5,-475.5
397,-315.5,-315.5,-315.5,-596.5,-596.5,-596.5
398,-329,-329,-329,-409.5,-409.5,-409.5
399,-445.5,-445.5,-445.5,-463,-463,-463
400,-345,-345,-345,-550,-550,-550
401,-660,-660,-660,-395,-395,-395
402,-366,-366,-366,-407,-407,-407
403,-469.5,-469.5,-469.5,-406.5,-406.5,-406.5
404,-380,-380,-380,-488.5,-488.5,-488.5
405,-416.5,-416.5,-416.5,-345.5,-345.5,-345.5
406,-516.5,-516.5,-516.5,-575.5,-575.5,-575.5
407,-426,-426,-426,-626,-626,-626
408,-360.5,-360.5,-360.5,-545.5,-545.5,-545.5
409,-389,-389,-389,-480.5,-480.5,-480.5
410,-636,-636,-636,-236,-236,-236
411,-520.5,-520.5,-520.5,-516,-516,-516
412,-461.5,-461.5,-461.5,-427,-427,-427
413,-505,-505,-505,-612.5,-612.5,-612.5
414,-447,-447,-447,-457,-457,-457
415,-518.5,-518.5,-518.5,-402,-402,-402
416,-522.5,-522.5,-522.5,-524,-524,-524
417,-381,-381,-381,-522,-522,-522
418,-525,-525,-525,-386,-386,-386
419,-371.5,-371.5,-371.5,-518.5,-518.5,-518.5
420,-475.5,-475.5,-475.5,-469.5,-469.5,-469.5
421,-603,-603,-603,-465.5,-465.5,-465.5
422,-359,-359,-359,-430,-430,-430
423,-459,-459,-459,-547.5,-547.5,-547.5
424,-457.5,-457.5,-457.5,-468.5,-468.5,-468.5
425,-388.5,-388.5,-388.5,-401.5,-401.5,-401.5
426,-457,-457,-457,-377,-377,-377
427,-299.5,-299.5,-299.5,-449.5,-449.5,-449.5
428,-289.5,-289.5,-289.5,-621,-621,-621
429,-360,-360,-360,-310.5,-310.5,-310.5
430,-539,-539,-539,-559,-559,-559
431,-370.5,-370.5,-370.5,-522.5,-522.5,-522.5
432,-416.5,-416.5,-416.5,-499.5,-499.5,-499.5
433,-425.5,-425.5,-425.5,-329.5,-329.5,-329.5
434,-503.5,-503.5,-503.5,-424.5,-424.5,-424.5
435,-445.5,-445.5,-445.5,-422.5,-422.5,-422.5
436,-522,-522,-522,-332.5,-332.5,-332.5
437,-485,-485,-485,-579,-579,-579
438,-486.5,-486.5,-486.5,-622,-622,-622
439,-571,-571,-571,-560.5,-560.5,-560.5
440,-496.5,-496.5,-496.5,-430.5,-430.5,-430.5
441,-444.5,-444.5,-444.5,-527,-527,-527
442,-384,-384,-384,-459,-459,-459
443,-428.5,-428.5,-428.5,-473,-473,-473
444,-573,-573,-573,-423.5,-423.5,-423.5
445,-297.5,-297.5,-297.5,-517.5,-517.5,-517.5
446,-344,-344,-344,-467.5,-467.5,-467.5
447,-425.5,-425.5,-425.5,-481,-481,-481
448,-378.5,-378.5,-378.5,-546.5,-546.5,-546.5
449,-460.5,-460.5,-460.5,-502,-502,-502
450,-437.5,-437.5,-437.5,-462,-462,-462
451,-386.5,-386.5,-386.5,-520,-520,-520
452,-421,-421,-421,-496,-496,-496
453,-358,-358,-358,-443,-443,-443
454,-304.5,-304.5,-304.5,-447.5,-447.5,-447.5
455,-438.5,-438.5,-438.5,-403,-403,-403
456,-380.5,-380.5,-380.5,-413,-413,-413
457,-446.5,-446.5,-446.5,-421.5,-421.5,-421.5
458,-373,-373,-373,-553,-553,-553
459,-392,-392,-392,-507,-507,-507
460,-410,-410,-410,-303.5,-303.5,-303.5
461,-441.5,-441.5,-441.5,-469,-469,-469
462,-444,-444,-444,-322,-322,-322
463,-396,-396,-396,-493.5,-493.5,-493.5
464,-450,-450,-450,-343,-343,-343
465,-300.5,-300.5,-300.5,-470,-470,-470
466,-430,-430,-430,-374.5,-374.5,-374.5
467,-486.5,-486.5,-486.5,-392,-392,-392
468,-493.5,-493.5,-493.5,-446.5,-446.5,-446.5
469,-297.5,-297.5,-297.5,-460.5,-460.5,-460.5
470,-552,-552,-552,-564,-564,-564
